ind,wage,educ,race,sex,hispanic,south,married,exper,union,age,sector,Time
1,3.75,2,W,M,Hisp,NS,Single,16,Not,24,service,0.266666667
2,7,3,W,M,Hisp,S,Married,55,Not,64,manuf,0.142857143
3,6,4,W,M,NH,NS,Married,54,Not,64,service,0.166666667
4,14,5,W,M,NH,S,Married,44,Not,55,const,0.071428571
5,3,6,W,F,Hisp,NS,Married,43,Union,55,manuf,0.333333333
6,4.62,6,NW,F,NH,S,Single,33,Not,45,manuf,0.216450216
7,5.75,6,W,M,NH,S,Married,45,Not,57,manuf,0.173913043
8,6,7,W,F,NH,S,Married,15,Not,28,manuf,0.166666667
9,4.5,7,W,M,Hisp,S,Married,14,Not,27,service,0.222222222
10,7,7,NW,M,NH,NS,Married,42,Union,55,manuf,0.142857143
11,3.35,7,W,M,NH,S,Married,43,Not,56,manuf,0.298507463
12,8,7,W,M,NH,S,Married,44,Not,57,other,0.125
13,11,8,W,M,NH,NS,Married,42,Not,56,manuf,0.090909091
14,9,8,W,M,NH,NS,Married,33,Union,47,other,0.111111111
15,6.88,8,W,F,Hisp,NS,Married,22,Not,36,other,0.145348837
16,8.89,8,NW,F,NH,NS,Single,29,Not,43,service,0.112485939
17,3.4,8,W,F,NH,NS,Single,49,Not,63,service,0.294117647
18,4.7,8,W,M,NH,NS,Married,19,Not,33,other,0.212765957
19,6.5,8,W,M,NH,S,Married,27,Not,41,other,0.153846154
20,4.35,8,NW,F,NH,S,Married,37,Not,51,service,0.229885057
21,4.55,8,W,F,NH,S,Single,45,Not,59,service,0.21978022
22,3.5,8,W,M,Hisp,S,Married,8,Not,22,manuf,0.285714286
23,4.22,8,W,F,NH,S,Married,39,Not,53,manuf,0.236966825
24,5.1,8,W,F,Hisp,NS,Married,21,Not,35,manuf,0.196078431
25,3.4,8,NW,F,NH,NS,Married,29,Not,43,service,0.294117647
26,5.26,8,W,F,NH,NS,Married,38,Not,52,service,0.190114068
27,8.93,8,W,M,Hisp,NS,Married,47,Union,61,service,0.111982083
28,3.5,9,W,M,NH,NS,Married,47,Union,62,service,0.285714286
29,9.6,9,W,M,NH,NS,Single,33,Union,48,clerical,0.104166667
30,4.95,9,W,F,NH,NS,Married,42,Not,57,manuf,0.202020202
31,9.5,9,W,F,NH,NS,Married,46,Union,61,service,0.105263158
32,6.8,9,W,F,NH,S,Married,30,Not,45,manuf,0.147058824
33,19.98,9,W,M,NH,S,Married,29,Not,44,other,0.05005005
34,4.85,9,W,F,NH,NS,Married,16,Not,31,manuf,0.206185567
35,8.5,9,W,M,NH,NS,Married,38,Not,53,manuf,0.117647059
36,4.8,9,NW,M,NH,NS,Single,16,Not,31,manuf,0.208333333
37,5.75,9,NW,F,NH,S,Married,34,Union,49,prof,0.173913043
38,3.5,9,W,M,NH,NS,Single,48,Not,63,service,0.285714286
39,6.25,9,W,M,NH,S,Single,30,Union,45,other,0.16
40,9,10,W,M,NH,NS,Married,27,Not,43,const,0.111111111
41,10,10,W,F,NH,NS,Married,25,Union,41,service,0.1
42,6.1,10,W,F,NH,NS,Single,44,Union,60,manuf,0.163934426
43,6.75,10,W,M,NH,NS,Married,13,Not,29,manuf,0.148148148
44,3.5,10,W,F,NH,S,Single,33,Not,49,service,0.285714286
45,8.75,10,W,M,NH,S,Single,19,Not,35,service,0.114285714
46,4.85,10,W,M,NH,S,Single,13,Not,29,other,0.206185567
47,5.25,10,W,M,NH,NS,Married,15,Not,31,other,0.19047619
48,4.45,10,W,M,NH,S,Single,27,Not,43,other,0.224719101
49,13.1,10,NW,F,NH,S,Married,38,Not,54,service,0.076335878
50,7,10,W,M,NH,S,Married,9,Not,25,const,0.142857143
51,8.9,10,W,M,NH,S,Married,27,Union,43,const,0.112359551
52,6.75,10,NW,M,NH,S,Married,41,Union,57,manuf,0.148148148
53,3.51,10,NW,F,NH,S,Married,37,Not,53,service,0.284900285
54,10,10,W,M,NH,NS,Married,20,Not,36,manag,0.1
55,10,10,W,M,NH,NS,Married,12,Not,28,const,0.1
56,6.5,10,W,M,NH,NS,Married,30,Not,46,other,0.153846154
57,5.5,11,W,M,NH,NS,Married,18,Union,35,other,0.181818182
58,5.5,11,W,F,NH,NS,Married,24,Not,41,clerical,0.181818182
59,7,11,W,F,NH,NS,Single,12,Not,29,clerical,0.142857143
60,3.75,11,W,M,NH,NS,Single,11,Not,28,const,0.266666667
61,3.65,11,W,M,NH,NS,Single,16,Not,33,other,0.273972603
62,7,11,NW,F,NH,NS,Married,16,Not,33,clerical,0.142857143
63,5.55,11,W,F,NH,NS,Single,45,Union,62,service,0.18018018
64,3.35,11,NW,M,NH,S,Single,3,Not,20,manuf,0.298507463
65,3.84,11,NW,F,NH,S,Married,25,Not,42,sales,0.260416667
66,6.5,11,W,M,NH,NS,Single,17,Not,34,other,0.153846154
67,4,11,W,F,NH,S,Married,25,Union,42,manuf,0.25
68,10.78,11,NW,M,NH,S,Married,28,Union,45,const,0.092764378
69,6.5,11,W,M,NH,S,Married,39,Not,56,service,0.153846154
70,14.21,11,W,M,NH,NS,Single,15,Union,32,manuf,0.070372977
71,4.5,11,NW,M,NH,S,Married,14,Not,31,other,0.222222222
72,3.5,11,W,F,NH,S,Married,17,Not,34,service,0.285714286
73,14,11,W,M,NH,NS,Married,13,Union,30,other,0.071428571
74,9.5,11,W,M,NH,S,Married,29,Not,46,const,0.105263158
75,9.75,11,W,M,NH,S,Married,37,Union,54,manuf,0.102564103
76,13,11,W,M,NH,S,Married,18,Union,35,service,0.076923077
77,7.5,11,NW,M,NH,NS,Single,3,Not,20,service,0.133333333
78,4.5,11,W,M,NH,NS,Single,2,Not,19,service,0.222222222
79,4.15,11,W,M,NH,NS,Married,4,Not,21,service,0.240963855
80,3.65,11,W,F,NH,S,Married,8,Not,25,service,0.273972603
81,8.75,11,W,F,NH,NS,Single,36,Not,53,service,0.114285714
82,4.35,11,W,F,NH,NS,Married,20,Not,37,service,0.229885057
83,3.5,11,W,F,NH,NS,Married,33,Not,50,sales,0.285714286
84,5.5,12,W,M,NH,NS,Married,20,Not,38,sales,0.181818182
85,3.8,12,W,F,NH,NS,Single,4,Not,22,sales,0.263157895
86,10.5,12,W,F,NH,NS,Married,29,Not,47,clerical,0.095238095
87,15,12,W,M,NH,NS,Married,40,Union,58,const,0.066666667
88,9.57,12,W,F,NH,NS,Married,5,Union,23,service,0.104493208
89,5,12,W,F,NH,NS,Married,14,Not,32,sales,0.2
90,3.5,12,W,M,NH,NS,Married,35,Not,53,clerical,0.285714286
91,13,12,NW,M,NH,NS,Married,25,Union,43,service,0.076923077
92,4.28,12,W,F,NH,NS,Married,38,Not,56,service,0.23364486
93,6.94,12,W,F,NH,NS,Single,7,Not,25,service,0.144092219
94,12,12,W,M,NH,NS,Married,14,Not,32,manuf,0.083333333
95,13,12,W,M,NH,NS,Married,8,Not,26,other,0.076923077
96,11.84,12,W,M,NH,NS,Married,26,Not,44,manag,0.084459459
97,6.5,12,W,M,NH,NS,Married,28,Not,46,other,0.153846154
98,3.35,12,W,M,NH,NS,Single,0,Not,18,other,0.298507463
99,4.5,12,W,F,NH,NS,Married,7,Not,25,manuf,0.222222222
100,8.5,12,W,F,NH,NS,Single,25,Not,43,clerical,0.117647059
101,9.17,12,W,F,NH,NS,Married,44,Not,62,clerical,0.109051254
102,3.75,12,W,F,NH,NS,Single,41,Not,59,service,0.266666667
103,8,12,W,F,NH,NS,Single,8,Not,26,clerical,0.125
104,11.67,12,W,F,NH,NS,Married,43,Not,61,clerical,0.085689803
105,4,12,NW,M,NH,NS,Single,6,Union,24,manuf,0.25
106,5.5,12,NW,F,NH,NS,Single,21,Not,39,clerical,0.181818182
107,10.81,12,W,F,NH,NS,Married,40,Not,58,clerical,0.092506938
108,7,12,W,M,NH,NS,Married,5,Not,23,sales,0.142857143
109,7.5,12,W,F,NH,NS,Single,10,Not,28,service,0.133333333
110,11.25,12,W,M,NH,NS,Married,41,Union,59,other,0.088888889
111,6.75,12,W,M,NH,NS,Single,22,Not,40,clerical,0.148148148
112,3.35,12,W,F,NH,NS,Single,0,Not,18,service,0.298507463
113,7,12,W,M,NH,NS,Married,7,Union,25,other,0.142857143
114,4.17,12,W,F,NH,NS,Married,27,Not,45,service,0.239808153
115,4.8,12,W,F,NH,NS,Married,16,Not,34,manuf,0.208333333
116,5.75,12,W,M,NH,NS,Married,3,Not,21,prof,0.173913043
117,4.75,12,W,M,NH,NS,Married,8,Not,26,other,0.210526316
118,5.25,12,W,F,NH,NS,Single,8,Not,26,clerical,0.19047619
119,19.98,12,W,M,NH,NS,Married,23,Not,41,manuf,0.05005005
120,4,12,W,M,NH,NS,Single,4,Not,22,other,0.25
121,5,12,W,F,NH,NS,Single,0,Not,18,clerical,0.2
122,10,12,NW,M,NH,NS,Single,22,Union,40,manuf,0.1
123,15.03,12,W,F,NH,NS,Married,24,Not,42,clerical,0.066533599
124,16,12,W,M,NH,S,Married,12,Not,30,prof,0.0625
125,3.56,12,W,F,Hisp,S,Single,12,Not,30,clerical,0.280898876
126,4.5,12,W,M,Hisp,S,Single,16,Not,34,other,0.222222222
127,4.55,12,W,F,Hisp,S,Single,4,Not,22,manag,0.21978022
128,3.6,12,W,F,Hisp,S,Married,43,Not,61,service,0.277777778
129,8,12,W,F,NH,S,Married,14,Not,32,clerical,0.125
130,4.75,12,W,F,NH,S,Single,10,Not,28,sales,0.210526316
131,6.73,12,W,M,NH,S,Married,2,Not,20,manuf,0.14858841
132,11.11,12,W,M,NH,S,Married,28,Not,46,sales,0.090009001
133,10,12,W,M,NH,S,Married,20,Not,38,sales,0.1
134,11.25,12,W,F,Hisp,S,Married,30,Not,48,manag,0.088888889
135,3.95,12,W,F,NH,S,Married,9,Not,27,service,0.253164557
136,6.25,12,W,F,NH,S,Single,6,Not,24,other,0.16
137,8,12,W,F,NH,NS,Single,9,Not,27,clerical,0.125
138,9.65,12,W,F,NH,NS,Married,38,Not,56,clerical,0.103626943
139,13.12,12,NW,F,NH,NS,Married,33,Not,51,service,0.076219512
140,9.25,12,W,M,NH,NS,Single,19,Not,37,manuf,0.108108108
141,5,12,W,M,Hisp,NS,Single,4,Not,22,prof,0.2
142,7,12,W,F,NH,NS,Married,32,Not,50,manag,0.142857143
143,5.5,12,W,M,NH,NS,Married,12,Not,30,other,0.181818182
144,9,12,W,M,NH,NS,Married,16,Not,34,sales,0.111111111
145,4.13,12,W,F,NH,NS,Married,4,Not,22,clerical,0.242130751
146,10,12,W,M,NH,NS,Married,11,Union,29,other,0.1
147,7.5,12,W,M,NH,NS,Married,17,Not,35,other,0.133333333
148,8.89,12,W,M,NH,NS,Married,18,Not,36,manuf,0.112485939
149,8.93,12,W,F,NH,NS,Married,18,Not,36,other,0.111982083
150,9.83,12,W,M,NH,NS,Married,23,Not,41,manuf,0.1017294
151,6.67,12,W,M,NH,NS,Single,1,Not,19,manuf,0.149925037
152,7,12,W,F,NH,NS,Married,10,Union,28,clerical,0.142857143
153,3.64,12,W,F,NH,NS,Married,42,Not,60,manag,0.274725275
154,5,12,W,F,NH,NS,Married,14,Not,32,service,0.2
155,12,12,W,F,NH,NS,Married,11,Not,29,prof,0.083333333
156,6.28,12,W,F,NH,NS,Married,38,Not,56,manuf,0.159235669
157,4.5,12,W,F,NH,NS,Single,3,Not,21,manuf,0.222222222
158,6,12,W,M,NH,NS,Married,9,Not,27,other,0.166666667
159,8.75,12,W,M,NH,NS,Single,9,Not,27,other,0.114285714
160,8.99,12,W,F,NH,NS,Single,15,Union,33,service,0.111234705
161,10.5,12,W,M,NH,NS,Married,4,Union,22,other,0.095238095
162,4,12,W,F,NH,NS,Single,15,Not,33,sales,0.25
163,3.8,12,W,F,NH,NS,Single,16,Not,34,service,0.263157895
164,6,12,W,F,NH,NS,Married,19,Not,37,clerical,0.166666667
165,5,12,W,F,NH,NS,Married,28,Not,46,manuf,0.2
166,15,12,W,M,NH,NS,Married,42,Not,60,manag,0.066666667
167,8.49,12,W,F,NH,NS,Married,24,Not,42,service,0.11778563
168,22.2,12,W,M,NH,NS,Married,26,Union,44,manuf,0.045045045
169,4,12,W,F,NH,S,Single,46,Not,64,other,0.25
170,7.81,12,W,F,NH,S,Single,1,Not,19,manag,0.128040973
171,1.75,12,W,F,NH,S,Married,5,Not,23,service,0.571428571
172,5,12,W,M,NH,S,Married,5,Not,23,other,0.2
173,3.75,12,NW,F,NH,S,Married,6,Not,24,manuf,0.266666667
174,4,12,W,M,Hisp,S,Single,7,Not,25,service,0.25
175,5.75,12,W,F,NH,S,Married,21,Not,39,prof,0.173913043
176,7.65,12,W,M,NH,NS,Single,20,Not,38,service,0.130718954
177,6.4,12,W,F,NH,NS,Married,45,Not,63,sales,0.15625
178,6.58,12,W,F,NH,NS,Married,24,Not,42,manag,0.151975684
179,12.5,12,W,M,NH,NS,Married,43,Not,61,sales,0.08
180,5.5,12,W,M,NH,NS,Single,3,Not,21,manuf,0.181818182
181,10.62,12,W,F,NH,NS,Single,45,Not,63,clerical,0.094161959
182,8,12,NW,F,NH,NS,Married,43,Union,61,service,0.125
183,5.79,12,W,F,NH,NS,Married,42,Not,60,prof,0.172711572
184,7.3,12,W,M,NH,NS,Married,37,Not,55,const,0.136986301
185,9.36,12,W,M,NH,NS,Married,8,Not,26,manuf,0.106837607
186,5.2,12,W,F,NH,NS,Married,24,Not,42,clerical,0.192307692
187,4.25,12,W,F,NH,NS,Married,20,Not,38,clerical,0.235294118
188,5.3,12,NW,M,NH,S,Married,14,Not,32,manag,0.188679245
189,5.5,12,W,M,NH,S,Married,20,Not,38,service,0.181818182
190,3,12,W,F,NH,S,Married,28,Not,46,clerical,0.333333333
191,9.42,12,W,M,NH,S,Married,32,Not,50,sales,0.106157113
192,12.16,12,NW,F,NH,S,Married,32,Not,50,clerical,0.082236842
193,8.43,12,W,M,NH,S,Married,12,Not,30,clerical,0.118623962
194,11.43,12,W,M,NH,S,Single,3,Not,21,const,0.087489064
195,5.71,12,W,F,NH,NS,Married,16,Union,34,manuf,0.175131349
196,3.35,12,W,F,NH,NS,Married,8,Not,26,manuf,0.298507463
197,5.75,12,W,F,NH,NS,Married,15,Not,33,clerical,0.173913043
198,5.4,12,W,F,NH,NS,Married,18,Not,36,clerical,0.185185185
199,13.16,12,W,F,NH,NS,Married,38,Not,56,manag,0.075987842
200,11.32,12,W,F,NH,NS,Married,13,Not,31,clerical,0.088339223
201,12.22,12,W,M,NH,NS,Married,19,Union,37,const,0.081833061
202,4.59,12,W,F,NH,S,Married,36,Not,54,clerical,0.217864924
203,7.5,12,W,M,NH,S,Married,38,Not,56,other,0.133333333
204,12,12,W,M,NH,S,Single,5,Not,23,clerical,0.083333333
205,16,12,W,M,NH,S,Married,35,Union,53,manuf,0.0625
206,4.25,12,W,F,NH,S,Married,29,Not,47,sales,0.235294118
207,7.61,12,NW,M,NH,S,Married,20,Not,38,const,0.131406045
208,6.25,12,W,M,NH,S,Single,1,Not,19,other,0.16
209,7.75,12,W,F,NH,NS,Married,24,Not,42,clerical,0.129032258
210,6.93,12,W,M,NH,NS,Married,26,Union,44,service,0.144300144
211,15,12,W,M,NH,NS,Married,39,Union,57,prof,0.066666667
212,6.5,12,W,M,NH,S,Single,5,Not,23,manuf,0.153846154
213,9.5,12,W,F,NH,S,Married,39,Not,57,clerical,0.105263158
214,7.5,12,W,F,NH,S,Single,20,Not,38,clerical,0.133333333
215,9.45,12,W,M,NH,NS,Single,13,Not,31,manuf,0.105820106
216,15,12,W,M,NH,NS,Married,33,Union,51,const,0.066666667
217,3.6,12,W,F,NH,NS,Single,6,Not,24,service,0.277777778
218,11.5,12,W,M,NH,NS,Single,19,Union,37,manuf,0.086956522
219,13.71,12,W,M,NH,NS,Married,43,Union,61,sales,0.07293946
220,10.62,12,W,M,NH,S,Married,34,Not,52,manag,0.094161959
221,7.45,12,W,F,NH,S,Single,25,Not,43,prof,0.134228188
222,3.43,12,NW,M,NH,S,Single,2,Not,20,service,0.29154519
223,13,12,NW,M,NH,S,Married,19,Union,37,manuf,0.076923077
224,6,12,W,M,NH,NS,Single,8,Not,26,const,0.166666667
225,6.85,12,NW,M,NH,NS,Single,8,Not,26,clerical,0.145985401
226,3.75,12,W,F,NH,S,Married,17,Not,35,service,0.266666667
227,5,12,W,M,NH,S,Single,4,Not,22,clerical,0.2
228,6.5,12,W,M,NH,NS,Single,8,Not,26,other,0.153846154
229,9.56,12,W,M,NH,NS,Married,23,Not,41,other,0.10460251
230,8.5,12,W,F,NH,NS,Single,16,Not,34,prof,0.117647059
231,4.1,12,W,F,NH,NS,Married,15,Not,33,clerical,0.243902439
232,4.5,12,W,F,NH,NS,Single,15,Not,33,manuf,0.222222222
233,6.75,12,W,M,NH,S,Married,12,Not,30,other,0.148148148
234,7,12,W,F,NH,S,Married,26,Not,44,service,0.142857143
235,7.5,12,NW,F,NH,S,Married,27,Not,45,sales,0.133333333
236,7.5,12,W,F,NH,S,Married,16,Not,34,clerical,0.133333333
237,8.5,12,NW,M,NH,S,Single,2,Not,20,clerical,0.117647059
238,12.5,12,W,M,NH,S,Married,9,Not,27,other,0.08
239,6,12,W,M,Hisp,S,Single,1,Union,19,other,0.166666667
240,5,12,W,M,NH,S,Single,6,Not,24,const,0.2
241,7.5,12,W,M,NH,NS,Single,3,Not,21,other,0.133333333
242,8.5,12,W,M,NH,NS,Married,13,Not,31,manuf,0.117647059
243,12.5,12,W,M,NH,NS,Single,11,Not,29,const,0.08
244,10.75,12,W,M,NH,NS,Married,24,Union,42,const,0.093023256
245,12.5,12,W,F,NH,NS,Married,14,Union,32,clerical,0.08
246,3.35,12,NW,F,NH,S,Married,10,Not,28,manuf,0.298507463
247,19.88,12,W,M,NH,S,Married,13,Union,31,prof,0.050301811
248,12,12,W,M,NH,S,Married,20,Union,38,manuf,0.083333333
249,3.35,12,W,F,NH,NS,Married,7,Not,25,clerical,0.298507463
250,9,12,W,M,NH,NS,Married,20,Union,38,clerical,0.111111111
251,5,12,W,F,NH,NS,Married,39,Not,57,clerical,0.2
252,9.5,12,W,F,NH,NS,Single,25,Not,43,clerical,0.105263158
253,8.5,12,NW,M,NH,NS,Married,8,Union,26,other,0.117647059
254,4.25,12,W,F,NH,NS,Married,2,Not,20,service,0.235294118
255,11.25,12,W,F,NH,NS,Married,28,Not,46,prof,0.088888889
256,4.85,12,W,F,NH,S,Married,14,Not,32,clerical,0.206185567
257,4.75,12,W,F,NH,S,Married,2,Not,20,clerical,0.210526316
258,9.6,12,W,F,NH,S,Married,14,Not,32,clerical,0.104166667
259,13.45,12,W,M,NH,S,Married,16,Union,34,other,0.074349442
260,12.57,12,W,M,NH,NS,Married,12,Union,30,other,0.079554495
261,13.26,12,W,M,NH,NS,Married,16,Union,34,other,0.075414781
262,8.75,12,W,M,NH,NS,Married,30,Not,48,prof,0.114285714
263,4.5,12,W,F,NH,NS,Married,3,Not,21,manag,0.222222222
264,20.55,12,W,M,NH,NS,Married,33,Not,51,other,0.0486618
265,8,12,W,F,NH,NS,Married,15,Not,33,service,0.125
